principal_component,explained_variance_ratio,cumulative_explained_variance
PC1,0.16893064772644353,0.16893064772644353
PC2,0.1289828649098626,0.29791351263630617
PC3,0.07123319373282384,0.36914670636913
PC4,0.07076133514127472,0.43990804151040475
PC5,0.06364245271921187,0.5035504942296166
PC6,0.04352939037710838,0.547079884606725
PC7,0.03698234339345386,0.5840622280001788
PC8,0.035010099523734114,0.619072327523913
PC9,0.024596420848947045,0.64366874837286
PC10,0.018434794314991433,0.6621035426878514
PC11,0.014725243232105,0.6768287859199564
PC12,0.01262298008225862,0.689451766002215
PC13,0.012411824673673653,0.7018635906758887
PC14,0.011936446676115155,0.7138000373520038
PC15,0.010688741022462369,0.7244887783744662
PC16,0.009875755467108338,0.7343645338415745
PC17,0.009517811369755342,0.7438823452113299
PC18,0.009358330522441418,0.7532406757337713
PC19,0.009200748013219606,0.7624414237469909
PC20,0.007363062066910263,0.7698044858139012
PC21,0.006928662215527166,0.7767331480294283
PC22,0.005037833040881889,0.7817709810703102
PC23,0.004795986148382593,0.7865669672186928
PC24,0.004617290804973609,0.7911842580236664
PC25,0.004586229684174781,0.7957704877078412
PC26,0.004462988478044237,0.8002334761858855
PC27,0.004454430484910152,0.8046879066707956
PC28,0.004366534765205608,0.8090544414360012
PC29,0.004337934092005624,0.8133923755280069
PC30,0.004286165630945537,0.8176785411589524
PC31,0.004221672598584243,0.8219002137575366
PC32,0.004151403027220796,0.8260516167847575
PC33,0.00409016902930678,0.8301417858140643
PC34,0.004013707319105856,0.8341554931331702
PC35,0.00394607040954722,0.8381015635427174
PC36,0.0038845706400111794,0.8419861341827285
PC37,0.003811590239512841,0.8457977244222413
PC38,0.0037238190182021314,0.8495215434404435
PC39,0.003463848667388698,0.8529853921078322
PC40,0.0033199978095637215,0.8563053899173959
PC41,0.003152980240126222,0.8594583701575221
PC42,0.0030306939771829657,0.862489064134705
PC43,0.002825500667561432,0.8653145648022665
PC44,0.002543560843657825,0.8678581256459243
PC45,0.002391765418923876,0.8702498910648482
PC46,0.002284291989770976,0.8725341830546192
PC47,0.0021694992449933746,0.8747036822996125
PC48,0.002125478614480424,0.8768291609140929
PC49,0.0020918973875777456,0.8789210583016707
PC50,0.0019834508121857964,0.8809045091138564
PC51,0.0018961288315024446,0.8828006379453589
PC52,0.0018252298007250013,0.8846258677460839
PC53,0.0017965070447588376,0.8864223747908427
PC54,0.001743549349351201,0.8881659241401939
PC55,0.0016920295103500778,0.889857953650544
PC56,0.0016276164362472544,0.8914855700867912
PC57,0.001622321058778234,0.8931078911455694
PC58,0.0015729769612626162,0.894680868106832
PC59,0.0015454038995100765,0.8962262720063421
PC60,0.0014504974493900525,0.8976767694557322
PC61,0.001419327191262655,0.8990960966469949
PC62,0.0014043895194424474,0.9005004861664373
PC63,0.0013892656945778048,0.901889751861015
PC64,0.0013784139159157731,0.9032681657769308
PC65,0.0013237996928224041,0.9045919654697532
PC66,0.00131323134748196,0.9059051968172351
PC67,0.001280083953361371,0.9071852807705965
PC68,0.001254560042282504,0.908439840812879
PC69,0.001240326964834391,0.9096801677777133
PC70,0.001190067648667171,0.9108702354263805
PC71,0.0011830825154486816,0.9120533179418291
PC72,0.0011656546910053444,0.9132189726328345
PC73,0.0010823026173820342,0.9143012752502165
PC74,0.001053723147100125,0.9153549983973167
PC75,0.0010289981493904789,0.9163839965467072
PC76,0.0010076371681967849,0.917391633714904
PC77,0.0010001898159596437,0.9183918235308636
PC78,0.000987311178937637,0.9193791347098013
PC79,0.0009790477483667883,0.920358182458168
PC80,0.0009657022975228235,0.9213238847556908
PC81,0.0009568624089946169,0.9222807471646854
PC82,0.0009340864333182691,0.9232148335980037
PC83,0.0009155209751837083,0.9241303545731874
PC84,0.0008993697792241212,0.9250297243524115
PC85,0.0008947552112777219,0.9259244795636892
PC86,0.0008904273109041628,0.9268149068745933
PC87,0.0008794039782423854,0.9276943108528357
PC88,0.0008660400273530872,0.9285603508801888
PC89,0.0008602485762720767,0.9294205994564609
PC90,0.0008558262767169292,0.9302764257331778
PC91,0.0008288547546364534,0.9311052804878143
PC92,0.0008217092276391799,0.9319269897154534
PC93,0.0008095142250486883,0.9327365039405021
PC94,0.0007922087356467992,0.9335287126761489
PC95,0.0007828873445908368,0.9343116000207398
PC96,0.0007707151137157756,0.9350823151344555
PC97,0.0007613675100417692,0.9358436826444972
PC98,0.0007510582872521361,0.9365947409317493
PC99,0.0007307868562635477,0.9373255277880129
PC100,0.0007179226382934415,0.9380434504263063
PC101,0.0007134191081959113,0.9387568695345022
PC102,0.0006785330766452734,0.9394354026111474
PC103,0.0006666824620749355,0.9401020850732223
PC104,0.0006456720710024385,0.9407477571442248
PC105,0.0006280226437196315,0.9413757797879444
PC106,0.0006141908611757973,0.9419899706491202
PC107,0.0006000529002260337,0.9425900235493462
PC108,0.000586295687633422,0.9431763192369796
PC109,0.0005835211193624581,0.9437598403563421
PC110,0.000578813222472489,0.9443386535788145
PC111,0.0005680824925679498,0.9449067360713824
PC112,0.0005531721949596841,0.9454599082663421
PC113,0.0005405506277214797,0.9460004588940636
PC114,0.0005334964174239977,0.9465339553114875
PC115,0.0005210181125127574,0.9470549734240002
PC116,0.0005144993474325857,0.9475694727714329
PC117,0.0005133417456796243,0.9480828145171125
PC118,0.0005078887355092379,0.9485907032526217
PC119,0.0004948903603686854,0.9490855936129904
PC120,0.000489845226108019,0.9495754388390985
PC121,0.0004892803890714358,0.9500647192281699
PC122,0.000487283799885176,0.9505520030280551
PC123,0.00048115879319526737,0.9510331618212503
PC124,0.0004798412744909074,0.9515130030957412
PC125,0.00047464406311126673,0.9519876471588524
PC126,0.0004712604937520698,0.9524589076526045
PC127,0.00046585503467443524,0.952924762687279
PC128,0.0004567209560898429,0.9533814836433688
PC129,0.00044503192909515615,0.953826515572464
PC130,0.00043587905862255003,0.9542623946310865
PC131,0.00043186216980128206,0.9546942568008878
PC132,0.00042588791753917995,0.955120144718427
PC133,0.000422075823856709,0.9555422205422837
PC134,0.0004178930266255805,0.9559601135689092
PC135,0.00041389969134177356,0.956374013260251
PC136,0.00041117747903464597,0.9567851907392856
PC137,0.00040319247531751313,0.9571883832146031
PC138,0.00039666757759188205,0.957585050792195
PC139,0.00039118246035447585,0.9579762332525495
PC140,0.0003877404891229628,0.9583639737416725
PC141,0.00038336967469071925,0.9587473434163633
PC142,0.00036745126368975756,0.959114794680053
PC143,0.0003643136642989575,0.959479108344352
PC144,0.0003592237826408376,0.9598383321269929
PC145,0.00035523711251993917,0.9601935692395128
PC146,0.0003547521372971775,0.96054832137681
PC147,0.0003505223883859601,0.960898843765196
PC148,0.0003482026248815254,0.9612470463900775
PC149,0.00033727776016878044,0.9615843241502463
PC150,0.00033267179900170913,0.9619169959492481
PC151,0.0003311801960604998,0.9622481761453086
PC152,0.0003245952249042841,0.9625727713702128
PC153,0.0003223013527605864,0.9628950727229734
PC154,0.0003216546777487692,0.9632167274007222
PC155,0.00031916049139388665,0.9635358878921161
PC156,0.00031376774548228957,0.9638496556375984
PC157,0.0003133721686230118,0.9641630278062214
PC158,0.0003097790370629876,0.9644728068432844
PC159,0.00030642666351307646,0.9647792335067975
PC160,0.0003044622494119557,0.9650836957562094
PC161,0.0003037577507296957,0.9653874535069391
PC162,0.00029931253442112127,0.9656867660413603
PC163,0.00029351038177718883,0.9659802764231374
PC164,0.00029176610045911184,0.9662720425235966
PC165,0.00029078106937750086,0.9665628235929741
PC166,0.00028849269199059634,0.9668513162849647
PC167,0.00028347212185646486,0.9671347884068211
PC168,0.0002829933468964595,0.9674177817537175
PC169,0.0002821553378552989,0.9676999370915728
PC170,0.0002783783425936856,0.9679783154341665
PC171,0.00027518416594323185,0.9682534996001096
PC172,0.000272350803413574,0.9685258504035232
PC173,0.0002709016771336162,0.9687967520806569
