transformed_feature,feature_importance,source_feature
numeric__early_event_gap_log1p,1604,early_event_gap_log1p
numeric__price_for_aggregation_second,1289,price_for_aggregation_second
numeric__price_for_aggregation_first,1252,price_for_aggregation_first
numeric__early_unique_products,150,early_unique_products
categorical__first_event_dayofweek_0,138,first_event_dayofweek
categorical__first_event_dayofweek_1,128,first_event_dayofweek
categorical__category_code_clean_second_construction.tools.light,94,category_code_clean_second
numeric__early_unique_brands,93,early_unique_brands
categorical__brand_clean_second_infrequent_sklearn,89,brand_clean_second
numeric__early_unique_categories,83,early_unique_categories
categorical__first_event_dayofweek_3,81,first_event_dayofweek
numeric__early_cart_count,81,early_cart_count
categorical__first_event_dayofweek_4,74,first_event_dayofweek
categorical__brand_clean_first_infrequent_sklearn,68,brand_clean_first
categorical__brand_clean_second_xiaomi,66,brand_clean_second
categorical__first_event_dayofweek_6,64,first_event_dayofweek
categorical__first_event_dayofweek_5,64,first_event_dayofweek
categorical__first_event_dayofweek_2,60,first_event_dayofweek
categorical__first_event_is_weekend_0,59,first_event_is_weekend
categorical__first_event_hour_17,58,first_event_hour
categorical__first_event_hour_16,54,first_event_hour
categorical__brand_clean_second_samsung,50,brand_clean_second
categorical__first_event_hour_9,49,first_event_hour
categorical__brand_clean_first_unknown,49,brand_clean_first
categorical__first_event_hour_18,46,first_event_hour
categorical__first_event_hour_20,45,first_event_hour
categorical__category_code_clean_first_construction.tools.light,44,category_code_clean_first
categorical__first_event_hour_11,40,first_event_hour
categorical__brand_clean_second_defacto,40,brand_clean_second
categorical__category_code_clean_first_electronics.audio.headphone,39,category_code_clean_first
categorical__brand_clean_second_apple,39,brand_clean_second
categorical__first_event_hour_7,36,first_event_hour
categorical__first_event_hour_19,35,first_event_hour
categorical__brand_clean_second_unknown,34,brand_clean_second
categorical__event_type_second_cart,33,event_type_second
categorical__brand_clean_first_lenovo,33,brand_clean_first
categorical__category_code_clean_second_unknown,33,category_code_clean_second
categorical__first_event_hour_10,32,first_event_hour
categorical__brand_clean_second_lg,32,brand_clean_second
categorical__first_event_hour_8,30,first_event_hour
categorical__brand_clean_first_samsung,29,brand_clean_first
categorical__first_event_hour_5,29,first_event_hour
categorical__category_code_clean_first_apparel.shoes,28,category_code_clean_first
categorical__first_event_hour_1,28,first_event_hour
categorical__first_event_hour_23,28,first_event_hour
categorical__brand_clean_second_arg,27,brand_clean_second
categorical__category_code_clean_second_apparel.shoes,27,category_code_clean_second
categorical__first_event_hour_4,26,first_event_hour
categorical__category_code_clean_first_appliances.personal.massager,26,category_code_clean_first
categorical__brand_clean_first_artel,26,brand_clean_first
categorical__first_event_hour_21,26,first_event_hour
categorical__category_code_clean_second_sport.trainer,25,category_code_clean_second
categorical__category_code_clean_second_apparel.underwear,25,category_code_clean_second
categorical__brand_clean_second_respect,25,brand_clean_second
categorical__category_code_clean_first_apparel.scarf,25,category_code_clean_first
categorical__brand_clean_second_redmond,24,brand_clean_second
categorical__brand_clean_second_housefit,23,brand_clean_second
categorical__first_event_hour_12,23,first_event_hour
categorical__first_event_hour_22,23,first_event_hour
categorical__brand_clean_second_oppo,23,brand_clean_second
categorical__category_code_clean_second_sport.bicycle,23,category_code_clean_second
categorical__brand_clean_first_apple,22,brand_clean_first
categorical__brand_clean_second_asel,22,brand_clean_second
categorical__brand_clean_first_nike,22,brand_clean_first
categorical__brand_clean_first_scarlett,21,brand_clean_first
categorical__brand_clean_second_microlab,21,brand_clean_second
categorical__brand_clean_first_realme,21,brand_clean_first
categorical__first_event_hour_6,21,first_event_hour
categorical__category_code_clean_second_furniture.kitchen.table,21,category_code_clean_second
categorical__brand_clean_second_pioneer,20,brand_clean_second
categorical__category_code_clean_second_appliances.personal.hair_cutter,20,category_code_clean_second
categorical__brand_clean_second_huawei,20,brand_clean_second
categorical__category_code_clean_second_accessories.bag,20,category_code_clean_second
categorical__brand_clean_first_hasbro,20,brand_clean_first
categorical__brand_clean_first_midea,20,brand_clean_first
categorical__brand_clean_first_xiaomi,20,brand_clean_first
categorical__category_code_clean_second_appliances.kitchen.refrigerators,20,category_code_clean_second
categorical__category_code_clean_first_electronics.audio.microphone,19,category_code_clean_first
categorical__category_code_clean_first_sport.bicycle,19,category_code_clean_first
categorical__brand_clean_second_jvc,19,brand_clean_second
categorical__category_code_clean_second_electronics.audio.headphone,18,category_code_clean_second
categorical__category_code_clean_first_appliances.kitchen.refrigerators,18,category_code_clean_first
categorical__brand_clean_first_pulser,17,brand_clean_first
categorical__brand_clean_first_sony,17,brand_clean_first
categorical__category_code_clean_second_computers.notebook,17,category_code_clean_second
categorical__category_code_clean_first_appliances.environment.air_heater,17,category_code_clean_first
categorical__first_event_hour_15,16,first_event_hour
categorical__first_event_hour_13,16,first_event_hour
categorical__first_event_is_weekend_1,16,first_event_is_weekend
categorical__brand_clean_second_ritmix,16,brand_clean_second
categorical__brand_clean_second_brw,16,brand_clean_second
categorical__brand_clean_second_ariston,16,brand_clean_second
categorical__brand_clean_second_adidas,16,brand_clean_second
categorical__category_code_clean_first_sport.ski,15,category_code_clean_first
categorical__category_code_clean_first_appliances.kitchen.blender,15,category_code_clean_first
categorical__first_event_hour_0,15,first_event_hour
categorical__brand_clean_second_electrolux,15,brand_clean_second
categorical__category_code_clean_first_unknown,15,category_code_clean_first
categorical__category_code_clean_second_construction.tools.welding,15,category_code_clean_second
categorical__category_code_clean_second_appliances.personal.massager,15,category_code_clean_second
categorical__category_code_clean_first_electronics.video.tv,14,category_code_clean_first
categorical__category_code_clean_first_appliances.kitchen.dishwasher,14,category_code_clean_first
categorical__brand_clean_second_dell,14,brand_clean_second
categorical__brand_clean_second_chayka,14,brand_clean_second
categorical__category_code_clean_first_apparel.shirt,14,category_code_clean_first
categorical__category_code_clean_second_appliances.kitchen.washer,14,category_code_clean_second
categorical__category_code_clean_first_kids.toys,14,category_code_clean_first
categorical__brand_clean_first_sven,14,brand_clean_first
categorical__brand_clean_first_tunga,14,brand_clean_first
categorical__brand_clean_first_yasin,14,brand_clean_first
categorical__brand_clean_first_defacto,12,brand_clean_first
categorical__category_code_clean_first_appliances.kitchen.toster,12,category_code_clean_first
categorical__first_event_hour_14,12,first_event_hour
categorical__category_code_clean_first_infrequent_sklearn,12,category_code_clean_first
categorical__category_code_clean_second_electronics.smartphone,12,category_code_clean_second
categorical__brand_clean_second_rondell,12,brand_clean_second
categorical__category_code_clean_second_construction.tools.drill,12,category_code_clean_second
categorical__category_code_clean_first_appliances.environment.climate,11,category_code_clean_first
categorical__category_code_clean_second_apparel.shorts,11,category_code_clean_second
categorical__brand_clean_second_lenovo,11,brand_clean_second
categorical__brand_clean_second_tp-link,11,brand_clean_second
categorical__category_code_clean_second_apparel.pajamas,11,category_code_clean_second
categorical__brand_clean_first_gf,11,brand_clean_first
categorical__brand_clean_second_epson,11,brand_clean_second
categorical__brand_clean_second_sony,11,brand_clean_second
categorical__category_code_clean_second_computers.components.power_supply,11,category_code_clean_second
categorical__category_code_clean_second_appliances.kitchen.hood,11,category_code_clean_second
categorical__category_code_clean_second_appliances.kitchen.toster,11,category_code_clean_second
categorical__category_code_clean_second_computers.peripherals.mouse,11,category_code_clean_second
categorical__category_code_clean_second_construction.tools.pump,11,category_code_clean_second
categorical__brand_clean_first_lg,11,brand_clean_first
categorical__brand_clean_first_transcend,11,brand_clean_first
categorical__brand_clean_first_rowenta,11,brand_clean_first
categorical__brand_clean_first_polaris,11,brand_clean_first
