model,top_ranked_sessions,sessions_targeted,true_future_purchases_targeted,precision_at_top_percentage,recall_at_top_percentage
LightGBM,Top 10%,1392,858,0.6163793103448276,0.4678298800436205
LightGBM,Top 20%,2784,1079,0.3875718390804598,0.5883315158124318
LightGBM,Top 30%,4176,1242,0.2974137931034483,0.6772082878953108
Tuned LightGBM,Top 10%,1392,856,0.6149425287356322,0.46673936750272627
Tuned LightGBM,Top 20%,2784,1077,0.38685344827586204,0.5872410032715376
Tuned LightGBM,Top 30%,4176,1226,0.2935823754789272,0.6684841875681571
XGBoost,Top 10%,1392,853,0.6127873563218391,0.46510359869138496
XGBoost,Top 20%,2784,1079,0.3875718390804598,0.5883315158124318
XGBoost,Top 30%,4176,1238,0.296455938697318,0.6750272628135223
Random Forest,Top 10%,1392,853,0.6127873563218391,0.46510359869138496
Random Forest,Top 20%,2784,1073,0.3854166666666667,0.5850599781897492
Random Forest,Top 30%,4176,1233,0.2952586206896552,0.6723009814612868
