model,threshold,sessions_targeted,percentage_sessions_targeted,true_future_purchases_targeted,precision,recall,f1_score,accuracy
LightGBM,0.1,13574,97.51436781609195,1825,0.13444820981287756,0.995092693565976,0.23688992731048805,0.155316091954023
LightGBM,0.15,12801,91.96120689655173,1800,0.14061401453011482,0.9814612868047983,0.2459856508370345,0.20725574712643677
LightGBM,0.2,11550,82.97413793103449,1752,0.15168831168831168,0.955288985823337,0.2618051404662283,0.29022988505747127
LightGBM,0.25,10001,71.84626436781609,1676,0.1675832416758324,0.9138495092693566,0.28322771440642164,0.3905890804597701
LightGBM,0.3,8230,59.12356321839081,1567,0.19040097205346293,0.8544165757906216,0.3114069952305246,0.5021551724137931
LightGBM,0.35,6630,47.62931034482759,1442,0.21749622926093515,0.7862595419847328,0.34073724007561434,0.5991379310344828
LightGBM,0.4,5119,36.77442528735632,1329,0.25962101973041607,0.7246455834242094,0.3822810297713217,0.6914511494252874
LightGBM,0.45,3726,26.76724137931035,1186,0.31830381105743427,0.6466739367502726,0.4266187050359712,0.7709770114942529
LightGBM,0.5,2684,19.2816091954023,1068,0.3979135618479881,0.5823336968375137,0.47277556440903057,0.8288793103448275
LightGBM,0.55,2017,14.489942528735632,987,0.48934060485870107,0.5381679389312977,0.512594131394443,0.8651580459770115
LightGBM,0.6,1636,11.75287356321839,922,0.5635696821515892,0.5027262813522355,0.5314121037463977,0.8831896551724138
LightGBM,0.65,1505,10.811781609195402,902,0.5993355481727575,0.49182115594329334,0.5402815214135969,0.8897270114942529
LightGBM,0.7,1469,10.55316091954023,890,0.6058543226684819,0.48527808069792805,0.5389040266424463,0.8905890804597701
LightGBM,0.75,1455,10.452586206896552,883,0.6068728522336769,0.48146128680479827,0.5369413195500152,0.8905890804597701
LightGBM,0.8,1415,10.165229885057471,868,0.6134275618374558,0.4732824427480916,0.5343182517697753,0.8913074712643678
LightGBM,0.85,1241,8.915229885057471,787,0.6341659951651893,0.4291166848418757,0.511869918699187,0.892169540229885
LightGBM,0.9,795,5.711206896551724,540,0.6792452830188679,0.29443838604143946,0.4108025865348041,0.8887212643678161
Tuned LightGBM,0.1,13915,99.96408045977012,1834,0.131800215594682,1.0,0.23290367642389992,0.13211206896551725
